id,tokenType,path,value
3fd45318-bdd5-4853-a283-20b5d575383c,Dimension,Roundness/Square-Inside,1px (num-1)
19c7f8fc-4747-44b5-8fe4-e63c69b101e3,Dimension,Roundness/Round-Inside,12px (num-12)
71e505b6-c78c-4af5-b97b-9decbc514846,Dimension,Roundness/Full-Inside,128px (num-128)
d14d8e10-d8db-46bb-a4cd-319b1583ae3f,Dimension,Roundness/Square-Outside,6px (num-6)
beea1361-4fcb-45e6-b1dd-40dfc2b46231,Dimension,Roundness/Round-Outside,12px (num-12)
00ef9a3c-cf15-49ee-8941-1d6129c67ea0,Dimension,Roundness/Full-Outside,24px (num-24)
ec87b591-f154-4360-8b84-23e2f265fed5,Dimension,Desktop/1-Column,720px (720px)
2a163736-317e-4ca8-92dd-db236663fb86,Dimension,Desktop/2-Columns,560px (560px)
663127c1-c0c8-4af4-923f-3da3dfccda7d,Dimension,Desktop/3-Columns,320px (320px)
5fe7adc9-0d0d-4496-84cf-b4f7875eb51a,Dimension,Desktop/4-Columns,240px (240px)
14242428-8e2f-42ed-bfec-17965d5c898c,Dimension,Tablet/1-Column,640px (640px)
ea484e6a-d304-4690-a496-bdcba78fd40f,Dimension,Tablet/2-Column,320px (320px)
7d2bb56c-0bcc-47d2-a945-c3d0e750ea5e,Dimension,Tablet/3-Column,160px (160px)
e49d813a-78ce-4d27-81bc-86ec445b687d,Dimension,Mobile/1-Column,320px (320px)
65c54c05-f507-4b72-b47f-3e5de9576ac2,Dimension,Mobile/2-Column,120px (120px)
c76713d4-39ad-428d-ae2f-da110830b6cf,Dimension,Mobile/3-Columns,80px (80px)
ac990761-ca39-4644-ad51-96c295d6ab8d,Dimension,Padding/Desktop/Main,112px (num-112)
7c370899-4367-4ef7-a862-0f4a1ccc64fb,Dimension,Padding/Tablet/Main,32px (num-32)
e074406d-1c87-4e86-9ff8-104b21776c8a,Dimension,Padding/Mobile/Web-Main,16px (num-16)
66270167-f93a-4efb-81a6-2dee2d283ce1,Dimension,Padding/Mobile/Main,16px (num-16)
713516b5-c134-4898-a4a4-492dcff97604,String,font family/Google sans,google sans (Google sans)
f3a3c843-c496-4981-bb67-283870bc99b7,String,display/heading 1/semibold/weight,Semi Bold  (Semi-Bold)
fb960ee0-5f5a-44bc-af11-1dba41e5a7e5,Dimension,display/heading 1/semibold/size,24px (unit-24)
fade94d0-bc4a-4a6a-8a6f-74192c2f22c9,Dimension,display/heading 1/semibold/letter spacing,0px (normal)
3d33f2d2-bb4a-484a-92a9-be878f7c545d,String,display/heading 2/semibold/weight,Semi Bold  (Semi-Bold)
d07cee96-76f2-4f94-a235-b366d5809121,Dimension,display/heading 2/semibold/size,22px (unit-22)
a75ffb12-ce81-473e-9756-6516e021fa3e,Dimension,display/heading 2/semibold/letter spacing,0px (normal)
c12e88cb-2f41-4329-a479-8c88da80f057,String,display/heading 3/semibold/weight,Semi Bold  (Semi-Bold)
6f660cea-4839-4186-aa39-2ef1b424f785,Dimension,display/heading 3/semibold/size,20px (unit-20)
260e5205-2a22-4700-b638-20d3a71f3be1,Dimension,display/heading 3/semibold/letter spacing,0px (normal)
26a297cf-0b67-48f4-a4ae-59bce042d709,String,text/L/regular/weight,Regular (Regular)
0c254833-3bf7-41c9-87b1-62ff999150be,Dimension,text/L/regular/size,18px (unit-18)
158aa8a4-bc6a-4215-9fbb-a64a7388d05a,Dimension,text/L/regular/letter spacing,0px (normal)
5586873d-ffaa-4104-bcf5-091b45dcc444,String,text/L/medium/weight,Medium (Medium)
ebddea32-a75d-4e40-a425-032fc69f9371,Dimension,text/L/medium/size,18px (unit-18)
a5a79466-c623-40e7-a87a-41f1c463ef1b,Dimension,text/L/medium/letter spacing,0px (normal)
523d0799-9d6d-4d1e-91a7-1ae9afdac79c,String,text/L/semibold/weight,Semi Bold  (Semi-Bold)
fff4d9f4-1570-412f-955b-7976b0994b26,Dimension,text/L/semibold/size,18px (unit-18)
505dc311-8ffa-498c-b11f-e0bc7ff2f96d,Dimension,text/L/semibold/letter spacing,0px (normal)
cbbf6673-0449-440b-996a-3cb1a72b84b5,String,text/M - Base/regular/weight,Regular (Regular)
6b1ff184-7d6c-4b5c-9737-e236894bf783,Dimension,text/M - Base/regular/size,16px (unit-16)
17eb2ed5-4765-4ee7-980e-6cf19ebe6403,Dimension,text/M - Base/regular/letter spacing,0px (normal)
4041c6f2-ab1d-4db2-9edd-98d80e0333a7,String,text/M - Base/medium/weight,Medium (Medium)
199ae7b3-de20-412b-b78d-58f574ba0952,Dimension,text/M - Base/medium/size,16px (unit-16)
f8ce7ae5-9408-4ff1-9526-8c93a351f139,Dimension,text/M - Base/medium/letter spacing,0px (normal)
1cf3c119-e489-4ec8-bf2d-e45a2f304f21,String,text/M - Base/semibold/weight,Semi Bold  (Semi-Bold)
69a97bd2-d8ac-4405-8bef-4df3b2760bca,Dimension,text/M - Base/semibold/size,16px (unit-16)
323de04c-356f-4546-84e3-ddbbce410474,Dimension,text/M - Base/semibold/letter spacing,0px (normal)
04d10d06-7522-4fe5-bb34-a53a9cfb1897,String,text/S/regular/weight,Regular (Regular)
0c7c8eb2-5a41-4b07-b3c2-7e61ece6e65f,Dimension,text/S/regular/size,14px (unit-14)
6b6153e8-5537-481d-92e8-9a61812b75d7,Dimension,text/S/regular/letter spacing,0px (normal)
86179352-d0ca-419f-aa14-11ddf0d8667f,String,text/S/medium/weight,Medium (Medium)
02fcf44a-8265-4f75-a6c5-e6ee7787026a,Dimension,text/S/medium/size,14px (unit-14)
bc5f52c6-3ba4-49da-9cce-33bd1622bfea,Dimension,text/S/medium/letter spacing,0px (normal)
35a85a7b-a8d3-4b5f-ac76-fd20e81830c2,String,text/S/semibold/weight,Semi Bold  (Semi-Bold)
c9d11158-7bd3-473c-a87f-dac9467dca37,Dimension,text/S/semibold/size,14px (unit-14)
dc955282-9f6f-4de4-80de-ef01d0eb89ab,Dimension,text/S/semibold/letter spacing,0px (normal)
16a7c564-8e70-4147-a337-7bd053ca414e,String,text/XS/regular/weight,Regular (Regular)
f2dd8ba4-c8f1-42a0-936f-1ad7299c14ac,Dimension,text/XS/regular/size,12px (unit-12)
333c7bdf-e8c3-4d28-a08e-46cfa717964e,Dimension,text/XS/regular/letter spacing,0px (normal)
d0f6114f-c047-413a-a299-7b1f1de4940b,String,text/XS/medium/weight,Medium (Medium)
4aa222b3-00b6-43c0-a659-10369693b39f,Dimension,text/XS/medium/size,12px (unit-12)
49f3e0bb-de45-460c-a831-1774c9dcac97,Dimension,text/XS/medium/letter spacing,0px (normal)
f648774a-c36c-411d-b0ac-35f3e285570d,String,text/XS/semibold/weight,Semi Bold  (Semi-Bold)
3697a376-eb60-4367-89f6-46e1e09003a7,Dimension,text/XS/semibold/size,12px (unit-12)
5c92f72a-c864-49f4-b270-7a3cabcaff51,Dimension,text/XS/semibold/letter spacing,0px (normal)
06d10da4-bb1a-4d0a-99c2-660bc71c76f9,String,text/XXS/regular/weight,Regular (Regular)
442e14b3-de3e-4500-b587-5babe788fef8,Dimension,text/XXS/regular/size,10px (unit-10)
dc9401d7-1d41-4e4e-9d66-627d224d9fe8,Dimension,text/XXS/regular/letter spacing,0px (normal)
1b47b132-b007-4451-9172-5a29fcc46ef6,String,text/XXS/medium/weight,Medium (Medium)
587fde60-5ed1-4730-ac1a-1ffa603358c3,Dimension,text/XXS/medium/size,10px (unit-10)
7bd507dd-beff-480c-b4f1-907dfe46a722,Dimension,text/XXS/medium/letter spacing,0px (normal)
114a446f-fff1-42f5-a650-62ee27c2ddd4,String,text/XXS/semibold/weight,Semi Bold  (Semi-Bold)
b10b4b4e-943c-4929-8f44-f458d09f12b0,Dimension,text/XXS/semibold/size,10px (unit-10)
626e176b-1d91-45c1-aeb2-e335d50d42f4,Dimension,text/XXS/semibold/letter spacing,0px (normal)
80a908fd-aa91-40a7-b006-fc1d23c91553,Color,Primary/25,#FFFDF5
5d1c413a-1c68-4ffa-b0a9-88d2e3e421e4,Color,Primary/50,#FFFAE8
9f104f00-7b2c-41f7-bc8f-3c0872dddf2d,Color,Primary/100,#FFF1B8
e58da1a2-dfa2-44aa-a6ab-a459a85ebb90,Color,Primary/200,#FFEA95
6248e489-b4f0-48c8-95ce-7af47f47d338,Color,Primary/300,#FFE065
dd8d6195-34e2-41ab-9613-b2a336af777e,Color,Primary/400,#FFDA47
b97f6160-083e-4862-896b-6ece785e3848,Color,Primary/500,#FFD119
6c381ec4-0018-46cc-9742-9ccd00030e92,Color,Primary/600,#E8BE17
ebc0255d-4474-4bf7-8f46-84516450f2c8,Color,Primary/700,#B59412
458897e6-06aa-4d43-9cf9-f785f066c33d,Color,Primary/800,#8C730E
c879b6ae-ba8e-4eae-9a31-e266951d2729,Color,Primary/900,#6B580B
705fa10c-38e4-4e10-a254-841e87ee5699,Color,Base/White,#FFFFFF
24af8530-7bbe-4765-ae0c-db45ce69067b,Color,Base/Black,#000000
97b99ea5-f299-4116-bcc9-0becb9a3cadb,Color,Neutral/25,#FCFCFC
77266ee2-9aa3-4d43-b9e6-79befe178134,Color,Neutral/50,#F9F9F9
b62ddcf4-2272-4a9d-8fc6-3669ac0f8a32,Color,Neutral/100,#EEEEEE
1ad06ac1-012a-47e9-8b6f-11caf26c16e4,Color,Neutral/200,#E5E5E5
6b5a4bc0-ec6d-49bd-bf92-12567b3a25f4,Color,Neutral/300,#D9D9D9
4c172962-79df-4f70-8bb2-e418bf1ccc21,Color,Neutral/400,#D2D2D2
b791bd5b-128c-4204-be4d-e3acad873e62,Color,Neutral/500,#C7C7C7
d6ac1467-6b1c-4b42-8783-bf3fa5cc2bd0,Color,Neutral/600,#B5B5B5
8d1d51cc-5bdf-4d84-8318-c54e0b8f7a52,Color,Neutral/700,#8D8D8D
b78650ce-4658-4616-92b2-0fa28e827d10,Color,Neutral/800,#6D6D6D
4dcfc5fd-a373-4813-bed5-6a8a894d11a5,Color,Neutral/900,#545454
aa0cbc67-29fe-4e04-80c5-fab4e6b07b71,Color,Gray/25,#F6F6F6
4ad7277c-17eb-4747-a88c-771ffb443794,Color,Gray/50,#EBEBEC
4a762676-0a4f-44d3-af5b-243ef608d09c,Color,Gray/100,#C0C1C4
3fbfd2a0-8696-4714-9cd4-154262622e70,Color,Gray/200,#A2A3A8
d80d2fa3-b43c-4495-a793-366945d4b4d8,Color,Gray/300,#787A80
83f93495-bd55-4d2c-b8eb-572856cb0282,Color,Gray/400,#5D6067
c1878772-92df-4680-830f-e67d332b3852,Color,Gray/500,#353841
74da02cc-5678-42eb-a823-93adea20f184,Color,Gray/600,#30333B
08ce458f-8295-47e4-ad2d-be9e3fcba3cd,Color,Gray/700,#26282E
5510f9f3-184c-4ec0-8cdd-6612a3affc8c,Color,Gray/800,#1D1F24
53a7d3c6-2253-4a67-b38d-491312f0f23f,Color,Gray/900,#16181B
d7e6e58d-8e83-48a6-b50b-4c43b9a6129e,Color,Danger/25,#FFF7F6
232e3f5e-f23c-4c55-bb47-d5ccd847bd5d,Color,Danger/50,#FFECEB
8c9dcb8c-adc9-47d8-8ff5-962071361d3f,Color,Danger/100,#FFC5C1
8d28f928-fddb-47aa-a3f8-ac0a8f283a18,Color,Danger/200,#FFA9A3
6167166e-9390-4a67-8f68-75af6b4c3488,Color,Danger/300,#FF827A
39506a44-06c3-4b8f-97e0-05412800e442,Color,Danger/400,#FF6A60
48e334f6-14fa-4947-814e-f07aa96d4e94,Color,Danger/500,#FF4538
fe55aa88-a645-4d20-b905-4a5bc4048f92,Color,Danger/600,#E83F33
207433ca-ad22-4c6b-bd73-7b8ac9db253d,Color,Danger/700,#B53128
5631c63d-8d6d-4042-8065-4cb5318853a5,Color,Danger/800,#8C261F
0fd1dc45-5506-48ba-ad54-edfe0a3b68b6,Color,Danger/900,#6B1D18
2745d785-30d5-4065-baad-abbe3af83322,Color,Danger/950,#590C0C
69b1d2e2-ac02-4209-b671-c03daad52893,Color,Success/25,#F6FFFB
aecd8eb9-3116-4e84-9810-77e6d6ae579d,Color,Success/50,#EBFBF4
caa7b916-c1fe-4ed8-8a9f-46b80909f6c6,Color,Success/100,#C2F3DC
c2c9b82f-e042-43f3-8e76-6a3bda7349fe,Color,Success/200,#A4EDCB
4ace2e88-bd7f-4a97-a2af-e97e66d480d1,Color,Success/300,#7BE5B3
0224311e-1882-4eab-9573-98e8b9c5e284,Color,Success/400,#61E0A5
45d57cc5-9418-4ad1-9396-6b101d4b2678,Color,Success/500,#3AD88E
4a91ee31-ea5d-4aa9-a88a-d7d95d35ea88,Color,Success/600,#35C581
d8bcb486-8e2d-485a-b42e-9d2b12d5e2c5,Color,Success/700,#299965
2fab2e50-699e-4e4c-a451-8e0ec656e94e,Color,Success/800,#20774E
df666756-a0a3-46a0-bf8e-9b5c9fad2c92,Color,Success/900,#185B3C
de2e30e0-0668-40b7-9ce7-396640b96303,Color,Success/950,#0D3510
c17ef48d-edb3-44c8-8002-f56de4f37ae4,Color,Warning/25,#FFF9F1
f62b0b2c-5146-4f0b-92f2-fb8001e55036,Color,Warning/50,#FEF5E7
3e759a4b-b77f-482a-b9e9-a49efacdde40,Color,Warning/100,#FDE1B4
54ace439-8e18-4e89-b0c0-f340616fb563,Color,Blue/25,#F3FAFF
cceeb59e-3bc3-40c0-a246-f7b0c4c37625,Color,Blue/50,#E6F4FF
43ccaa76-522a-4a25-b48d-e5b0529719a3,Color,Blue/100,#B0DCFF
4517c1e4-76a6-429d-b4df-ab6f6ca8c920,Color,Blue/200,#8ACBFF
5cf3c8a4-1bf3-45ff-b659-c32624db532e,Color,Blue/300,#54B3FF
09425ecf-46e6-4c1a-9a0d-8086937e3e6c,Color,Blue/400,#33A4FF
72026771-75c0-4d5b-998f-ea80a8d9b152,Color,Blue/500,#008DFF
78275c6f-5870-4952-baa4-96adc6fc1d0d,Color,Blue/600,#0080E8
c7e61952-66e6-4011-a1a9-75912dd4d82d,Color,Blue/700,#0064B5
23920b6a-bcb0-46dc-a381-7bd8c09c581a,Color,Blue/800,#0064B5
94d7ffbc-a29c-4ef2-a229-0524c1e9ffe7,Color,Blue/900,#004E8C
c8311aab-22a2-4b38-864c-7e0890148b9b,Color,Blue/950,#003B6B
f5f48dc4-d519-4db1-be63-f2d1a44c105d,Color,Purple/25,#F9F8FB
e38155d0-1759-46fe-aede-d5d7549fca26,Color,Purple/50,#ECEBFF
7d5f487f-d677-43b1-979e-87c77d394ce3,Color,Purple/100,#C7C4FD
f58a374a-382f-432d-9baa-61282be10a86,Color,Purple/200,#ABA7FD
fe8fe169-cf39-485c-90cf-3870d9b99177,Color,Purple/300,#8F89FC
61826462-67ca-4cba-88cf-83d70747e612,Color,Purple/400,#736CFB
5118e826-dfd7-43da-839f-a6e660510e4f,Color,Purple/500,#5D55F6
83c96296-0b1d-405f-a2b7-6f5222c8d148,Color,Purple/600,#574EFA
61c298ef-4b48-4425-befb-69b0d1916916,Color,Purple/700,#463EE3
73dc3ce7-ff7b-46e9-b447-77801b6e92b9,Color,Purple/800,#352DC8
85a4a44e-7452-4d7e-aff1-9fd6612e18a2,Color,Purple/900,#33059F
22939451-f405-4f71-b4e6-b7f2f876078c,Color,Purple/950,#1B0354
befa80fa-9e87-46f9-aaa2-17f9cb4523c7,Color,Warning/200,#FCD290
7798bc65-f2d6-48bd-978e-bc1d31bc9714,Color,Warning/300,#FBBD5E
2631a883-a066-49e8-9f4b-c96a56ef9dc7,Color,Warning/400,#FAB13E
e72f537d-6638-46de-a4ec-4ab122d90bcd,Color,Warning/500,#F99D0E
63cc76e3-1a6a-496c-96e1-5a0e161c5d8c,Color,Warning/600,#E38F0D
0838e263-99dc-40c2-a0aa-3865c715afb8,Color,Gradient/Overlay/Blur Dark,#181818 / 80%
bd498cb7-8443-41d3-ae52-fc43d64b6632,Color,Gradient/Overlay/Bg Blur Fill,#181818 / 50%
e052313f-451b-4c5a-b243-899ec48b99e5,Color,Gradient/Overlay/Overlay Dark,#181818 / 85%
6c4ec76c-904a-4a74-8dcd-319806b2c141,Color,Gradient/Overlay/Overlay Light,#FFFFFF / 95%
e2d8fb9e-b959-4f82-b8df-4a11b8d4d898,Color,Gradient/Overlay/Selected Gray,#747A8B / 15%
899659fd-6994-43cb-84cc-63ad18cd3cbe,Color,Gradient/Overlay/Hover Gray,#747A8B / 10%
5cfdc701-4c8e-444b-8e6e-bf2abc9b5078,Color,Auto-Tint/Light dark transparent,#FFFFFF
e58eba48-9bd4-4f5a-b14e-02f52484b86d,Color,Auto-Tint/Auto-tint,#000000
8795692f-0a19-4c08-b6a1-23823cc5b04b,Color,Warning/700,#B16F0A
59ef2d70-1024-426d-8968-4e3b4e42c8ef,Color,Warning/800,#895608
b0f0dd67-0faf-478b-a9cd-1c02737fa240,Color,Warning/900,#694206
d0e72f72-41e6-47e8-903f-ba9291d52074,Color,Warning/950,#4D2C00
6ad6ad6e-d8f1-4542-8427-f96d92f6e137,Color,Primary/Primary-25,#FFFDF5
e55a2708-bada-489c-85c9-b9cb4afe1f52,Color,Primary/Primary-50,#FFFAE8
5282858c-b718-4f8b-b2dd-78f01eeb14d8,Color,Primary/Primary-100,#FFF1B8
4cae8718-ba8e-4683-be94-e75af4eb779c,Color,Primary/Primary-200,#FFEA95
f59b0499-6685-4209-a0a5-63a108ce8042,Color,Primary/Primary-300,#FFE065
75a27e45-8ee1-413f-b88b-8fb56e1fb3fb,Color,Primary/Primary-400,#FFDA47
3a1da1ab-0d0e-464e-9277-4209afaad4b6,Color,Primary/Primary-500,#FFD119
3c39fee1-2f77-4dc0-a6f1-4a2c9e3d00f2,Color,Primary/Primary-600,#E8BE17
d665fea6-d061-4712-aded-612034e4c193,Color,Primary/Primary-700,#B59412
bc904e57-6ae8-4ef1-88cb-921f92df0986,Color,Primary/Primary-800,#8C730E
bc3437bd-acad-4448-bf8e-e57eacb6ac70,Color,Primary/Primary-900,#6B580B
067c03e4-b002-4406-abda-2de0aa90b235,Color,Base/White,#FFFFFF
b470b41c-33b4-4437-b17e-2d4ddfc728c7,Color,Base/White-opacity,#FFFFFF / 40%
e704d3f5-4233-4612-8794-0d82c6a2ec7c,Color,Base/White-opacity-secondary,#FFFFFF / 20%
e94ca3be-2003-431f-8587-02711b189387,Color,Base/Black,#000000
cf5eb779-bbc6-4bde-9b64-68d5b72ba72a,Color,Base/Black-opacity,#000000 / 40%
de58fcd4-0566-46b3-93e7-9bcbac209356,Color,Neutral/25,#FCFCFC
fb15dcf6-db13-499b-ab64-44438f6f6651,Color,Neutral/50,#F9F9F9
56d44d7d-183e-4f18-8614-2abbc51cfdb9,Color,Neutral/100,#EEEEEE
5b5b7020-3b94-4539-a663-4247bc494f96,Color,Neutral/200,#E5E5E5
00e85deb-af44-4338-8ea5-49b22f0db001,Color,Neutral/300,#D9D9D9
02d66f76-81e1-4587-be3e-b0d8b8227f0e,Color,Neutral/400,#D2D2D2
7a0de4db-1cf6-44a0-b2be-170009ce2351,Color,Neutral/500,#C7C7C7
0478c8f0-25a6-4db6-aaa8-a4c2779bde11,Color,Neutral/600,#B5B5B5
495a3860-3b09-4216-be67-ecc2fb2f32ad,Color,Neutral/700,#8D8D8D
b33b5ef2-a373-4fc4-9689-880ca41c7b96,Color,Neutral/800,#6D6D6D
9113b7b4-c838-4463-8291-a07406f958b0,Color,Neutral/900,#545454
0b35a839-8bd1-4554-86e0-d62d6b27fde5,Color,Gray/25,#F6F6F6
b2928a5d-4831-4638-8f87-910a88009b8e,Color,Gray/50,#EBEBEC
2925e108-9953-46e7-aea8-38c2f799bec8,Color,Gray/100,#C0C1C4
648f6ce1-bb45-4aeb-b1e8-95d81854365d,Color,Gray/200,#A2A3A8
8720c881-52bb-414e-9592-3f54e9f95654,Color,Gray/300,#787A80
fba02067-6921-4db6-8554-fcbf8c138454,Color,Gray/400,#5D6067
f7a36896-8dff-43cc-8bd0-713241ca7d6d,Color,Gray/500,#353841
d26f7d89-bb11-4060-b1fb-e4ed17b79dd0,Color,Gray/600,#30333B
deae4bc7-63e0-47fd-a3d1-bf5c767e921e,Color,Gray/700,#26282E
abf4cc1a-9337-4475-a9d5-149da81fa1b8,Color,Gray/800,#1D1F24
25d3a63d-337b-4f6e-af0e-6fd091aed7d1,Color,Gray/900,#16181B
3e2c179c-c187-4bae-9c0b-79902a9b509a,Color,Danger/25,#FFF7F6
21e8b356-0087-47a7-beac-6395b60859dd,Color,Danger/50,#FFECEB
a2f31efd-0ee3-403f-8304-33d4a5376a91,Color,Danger/100,#FFC5C1
afc238de-a842-443a-9d70-0b1d010aaac6,Color,Danger/200,#FFA9A3
d222083d-74f7-4511-bd0d-d473d405af0f,Color,Danger/300,#FF827A
a551fb15-a59a-454e-8cb4-bbe6deda58e8,Color,Danger/400,#FF6A60
918cd660-0616-42a9-bbc9-94a78ede7b01,Color,Danger/500,#FF4538
582603c0-8abf-458e-a8bb-8dd22c7c621a,Color,Danger/600,#E83F33
eabb9dde-4407-461f-be31-b6389e28f72c,Color,Danger/700,#B53128
431b8594-e4da-4924-9944-4a93ac0cbf17,Color,Danger/800,#8C261F
3c5a79f9-a789-41e4-bcab-989aea1ef606,Color,Danger/900,#6B1D18
0aacbcff-a023-46a2-a483-4e30eebf997a,Color,Success/25,#F6FFFB
3b6592d8-f5f0-4383-a915-d85ee9cc5e09,Color,Success/50,#EBFBF4
c55c84d7-4371-4eef-93bb-0c869df21285,Color,Success/100,#C2F3DC
29f48cda-d760-4766-9df4-b864e14b5489,Color,Success/200,#A4EDCB
